抽奖词	
253	前途辉煌
254	文竹
255	连翘
256	信孚中外
257	裕国利民
258	信用卓著
259	实业昌隆
260	名孚众望
261	仁声广被
262	口碑载道
263	功在桑梓
264	才华横溢
265	芸众慧人
266	高宾满座
267	胜友如云
268	赏心悦目
269	多彩多姿
270	尽善尽美
271	声色俱佳
272	云天厚谊
273	聚情永怀
274	盟谊永固
275	情谊永怀
276	锦情义茂
277	浩然之气
278	山辉川媚
279	风月无边
280	花枝招飐
281	眉欢眼笑
282	欢天喜地
283	欢欣鼓舞
284	谈笑风生
285	海紫苑
286	喜眉笑眼
287	豆蔻花
288	喜笑颜开
289	薄荷
290	他乡遇故知
291	悦目娱心
292	笑逐颜开
293	怡情悦性
294	喜不自胜
295	风度偏偏
296	英姿勃发
297	 豪气干云
298	挥洒自如
299	德艺双馨
300	 温文尔雅
301	文质彬彬  
302	礼贤下士
303	神采飞扬
304	英姿飒爽
305	  玉树凌风
306	和为贵
307	吉祥鸟
308	玉如意
309	鸿(宏)图展
310	风调雨顺
311	绿静春深
312	 花意竹情
313	 五谷丰登
314	吉庆有余  
315	惠风和畅
316	春日暄和 
317	鸢飞鱼跃
318	 兰秀菊芳 
319	赫日流辉
320	万事遂心
321	日度小康 
322	 四海皆春
323	幸福美满
324	福泰安康
325	红玫瑰
326	凤鸣朝阳
327	气若幽兰
328	泽如时雨
329	云兴霞蔚
330	百卉含英
331	家和
332	平安
333	富贵
334	大和
335	百兴
336	祥瑞
337	顺心
338	灿烂
339	幸福
340	美妙
341	吉祥
342	福禄
343	一帆风顺
344	喜从天降
345	龙马精神
346	神采奕奕
347	财源广进
348	生意兴隆
349	二龙腾飞
350	三羊开泰
351	四季平安
352	五福临门
353	六六大顺
354	七星高照
355	八方来财
356	九九同心
357	十全十美
358	福星高照
359	百事顺遂
360	鸿运当头
361	山高水长
362	抬头见喜
363	花迎春光
364	财源亨通
365	喜气洋洋
366	福享新春
367	喜鹊鸣春
368	喜气盈门
369	岁且更始
370	万物回春
371	一门瑞气
372	万里春风
373	春回柳叶
374	千祥云集
375	诸凡顺遂
376	洋水仙
377	日新月异
378	醉蝶花
379	意气风发
380	好事连连
381	文定吉祥
382	丰财聚宝
383	事业有成
384	青春永驻
385	东成西就
386	合家平安
387	富贵双全
388	笑口常开
389	喜乐连年
390	万象更新
391	笑语缤纷
392	好事不断
393	生活美满
394	迎春接福
395	合家欢乐
396	福气东来
397	鸿运通天
398	祥瑞新年
399	万事胜意
400	得心应手
401	福禄寿禧
402	飞黄腾达
403	美梦连连 
404	百业兴旺
405	锦绣前程
406	喜上眉梢
407	春风得意
408	前程似锦
409	马到功成
410	星罗棋布 
411	合乐融融
412	青云直上
413	龙腾虎跃
414	阖家安康
415	大业千秋
416	大展经纶
417	登峰造极
418	天长地久
419	日进斗金
420	龙凤呈祥
421	福至心灵
422	福慧双修 
423	凤麒呈祥
424	吉事先近
425	翡翠鸿图
426	康乐延绵
427	炯炯有神
428	精神焕发
429	气宇轩昂
430	满面春风
431	万紫千红
432	花红柳绿
433	花团锦簇
434	花枝招展
435	包罗万象
436	美不胜收
437	春意盎然
438	百花齐放
439	一路连科
440	马上封侯
441	魁星点斗
442	马到成功
443	冰壶秋月
444	春日暄和
445	松竹含韵
446	良辰美景
447	闻名遐迩
448	秋水伊人
449	和气致祥
450	祥风时雨
451	祥云瑞气
452	祥麟威凤
453	逢吉丁辰
454	吉人天相
455	天利人和
456	秋月春花
457	金桂飘香
458	春华秋实
459	阳光大道
460	太平盛世
461	政通人和
462	承平盛世
463	世外桃源
464	心花怒放
465	一曲迎春
466	一门天赐
467	四海春风洽
468	气贯长虹
469	河清海晏
470	万里春光
471	竹报三多
472	花漫九州
473	梅开五福
474	春和景丽
475	春盈四海
476	春日载阳
477	跃马争春
478	年年大发
479	翘盼福音
480	纳福迎祥
481	刘海戏金蟾
482	鸟语花香
483	龙跃凤鸣
484	大发利市
485	富贵有余
486	迎春纳福
487	如日方升
488	万里鹏翼
489	眼瞻福气
490	手写阳春
491	载瞻星气
492	造家庭福
493	庆云跃日
494	满园春光
495	簪缨世泽
496	豫立亨通
497	百花献瑞
498	淑气宜人
499	幸福无疆
500	旭日东升
